Timestamp,Nombre proyecto,Tipo,Costo (en millones de pesos),Fuente
8/16/2018 15:01:26,Segunda Concesión Ruta 66,carretera,446624,economiaynegocios.cl
8/16/2018 15:02:15,Ruta 5 Tramo Los Vilos-La Serena,carretera,363446,economiaynegocios.cl
8/16/2018 15:03:08,"Ruta G21, de acceso a Farellones",carretera,64605,economiaynegocios.cl
8/16/2018 15:04:08,Embalse Catemu,obra,311000,economiaynegocios.cl
8/16/2018 15:08:34,"380 Dptos en penco, Inmobiliaria Fuentes de Piedra",arquitectura,10556,diarioconcepcion.cl
8/16/2018 15:11:39,Terreno 6.700 m2 Lira con Santa Isabel,arquitectura,20043,diarioeldia.cl
8/16/2018 15:17:20,"Derechos de agua, lps Antofagasta",agua,68,compragua.cl
8/16/2018 15:21:31,Implementación Ley uber (1 año),software,448,cooperativa.cl
8/17/2018 8:16:23,784.531m2 banco de terrenos parque arauco,arquitectura,97826,latercera.cl
8/17/2018 8:21:42,Central de Respaldo Llanos Blancos 150MW,electricidad,46584,radioagricultura.cl
8/18/2018 9:20:47,Edificio corporativo en Isidora Goyenechea 3250,arquitectura,44190,economiaynegocios.cl
8/18/2018 9:21:52,Edificio de 15 pisos Costanera Puente Suecia,arquitectura,19417,economiaynegocios.cl
8/18/2018 9:24:26,Planta de alimentos Agrosuper en La Estrella,alimentos,46869,economiaynegocios.cl
8/19/2018 12:24:32,"aeropuerto El Tepual, de Puerto Montt",arquitectura,25372,latercera.cl
8/19/2018 12:25:59,Hospital de Antofagasta,arquitectura,180279,latercera.cl
8/19/2018 12:26:38,autopista urbana Américo Vespucio Oriente (AVO) 9.1km,carretera,614284,latercera.cl
8/19/2018 13:01:15,Fondo espejo transantiago,transporte,572886,elmercurio.cl
8/19/2018 15:07:58,Casino de los Angeles + Hotel Casino de San antonio ,hoteleria,4340,df.cl
8/19/2018 15:15:25,Puente Industrial Biobio,obra,133540,diarioconcepcion.cl
8/19/2018 15:21:34,"Loteo en Coronel, Inmobiliaria Pocuro (910 viviendas)",arquitectura,28711,diarioconcepcion.cl
8/19/2018 15:24:01,"Escuadrón Oriente 2, Coronel , 639 viviendas",arquitectura,7628,diarioconcepcion.cl
8/19/2018 15:25:15,Escuadrón Oriente 3 y 4 ( 412 viviendas),arquitectura,13622,diarioconcepcion.cl
8/19/2018 16:25:00,Pavimento en comunas del Biobio (65km),obra,13000,soychile.cl
