Timestamp,Nombre proyecto,Tipo,Costo (en millones de pesos),Fuente
8/16/2018 15:01:26,Segunda Concesión Ruta 66,carretera,446624,economiaynegocios.cl
8/16/2018 15:02:15,Ruta 5 Tramo Los Vilos-La Serena ,carretera,363446,economiaynegocios.cl
8/16/2018 15:03:08,"Ruta G21, de acceso a Farellones ",carretera,64605,economiaynegocios.cl
8/16/2018 15:04:08,Embalse Catemu,obra,311000,economiaynegocios.cl
8/16/2018 15:08:34,"380 Dptos en penco, Inmobiliaria Fuentes de Piedra",arquitectura,10556,diarioconcepcion.cl
8/16/2018 15:11:39,Terreno 6.700 m2 Lira con Santa Isabel,arquitectura,20043,diarioeldia.cl
8/16/2018 15:17:20,"Derechos de agua, lps Antofagasta",agua,68,compragua.cl
8/16/2018 15:21:31,Implementación Ley uber (1 año),software,448,cooperativa.cl
8/17/2018 8:16:23,784.531m2 banco de terrenos parque arauco,arquitectura,97826,latercera.cl
8/17/2018 8:21:42,Central de Respaldo Llanos Blancos 150MW,electricidad,46584,radioagricultura.cl
